Word,Freq_NoWaC,Freq_CDS
550,'broken',18472.0,10.0
551,'orange',3395.0,1.0
552,'pretty',47091.0,15.0
553,'nice',60473.0,105.0
554,'scared',53509.0,11.0
555,'clean',91341.0,3.0
556,'red',68611.0,44.0
557,'late',177291.0,2.0
558,'mad',13869.0,24.0
559,'last',420404.0,15.0
560,'stuck',2000.0,1.0
561,'dirty',7480.0,4.0
562,'beautiful',12524.0,1.0
563,'bad',5791.0,8.0
564,'kind',31313.0,22.0
565,'cute',32482.0,5.0
566,'sleepy',921.0,1.0
567,'poor',10597.0,2.0
568,'quiet',54841.0,26.0
569,'big',1307694.0,62.0
570,'hungry',8876.0,7.0
571,'grumpy',23512.0,4.0
572,'black',45765.0,8.0
573,'sick',56929.0,1.0
574,'empty',36694.0,5.0
575,'dry',23950.0,3.0
576,'thirsty',2135.0,5.0
577,'tired',9729.0,4.0
578,'heavy',59220.0,10.0
579,'awake',7936.0,5.0
580,'hot',58220.0,22.0
581,'wet',18513.0,9.0
582,'painful',129422.0,19.0
583,'day',1074722.0,62.0
584,'after',1137455.0,23.0
585,'afternoon',29317.0,3.0
586,'afterwords',36076.0,29.0
587,'before',598533.0,41.0
588,'morning',14515.0,2.0
589,'today',394236.0,2.0
590,'yesterday',83408.0,7.0
591,'tonight',2709.0,2.0
592,'tomorrow',37720.0,7.0
593,'evening',123627.0,2.0
594,'morning',46248.0,2.0
595,'now',1120297.0,461.0
596,'night',73005.0,4.0
597,'later',125096.0,1.0
598,'time',644085.0,11.0
599,'they',2911837.0,481.0
600,'you (sg)',654317.0,8.0
601,'yourself',33409.0,1.0
602,'them',462725.0,39.0
603,'it/that',3864873.0,1619.0
604,'this',1053753.0,31.0
605,'you (pl)',406134.0,53.0
606,'your(s) (pl)/their(s)',201042.0,3.0
607,'it/that',11278389.0,4917.0
608,'this',2010675.0,100.0
609,'your(s) (sg)',304988.0,234.0
610,'these',492410.0,17.0
611,'you (sg)',2804710.0,3448.0
612,'him',172668.0,3.0
613,'he',2209568.0,855.0
614,'his',261100.0,10.0
615,'her',170695.0,12.0
616,'her(s)',120798.0,3.0
617,'she',1000080.0,238.0
618,'each other',101055.0,15.0
619,'I',4816307.0,906.0
620,'one',1383204.0,55.0
621,'me',1000527.0,2.0
622,'myself',25540.0,1.0
623,'my/mine',496463.0,45.0
624,'us',600133.0,26.0
625,'himself/herself',2050589.0,95.0
626,'himself/herself',130150.0,1.0
627,'his/her',1393825.0,123.0
628,'our(s)',499327.0,14.0
629,'we',3387355.0,1111.0
630,'what',859118.0,1533.0
631,'who',159251.0,131.0
632,'which',240992.0,70.0
633,'where',660990.0,268.0
634,'how',435967.0,33.0
635,'why',187443.0,40.0
636,'when',1086512.0,123.0
637,'by',7737060.0,208.0
638,'behind',156733.0,25.0
639,'away',118510.0,69.0
640,'away',56747.0,56.0
641,'there',742743.0,1206.0
642,'for',6939412.0,521.0
643,'in front of',95023.0,11.0
644,'from',2696389.0,29.0
645,'forward',210978.0,7.0
646,'through',360696.0,4.0
647,'here',1050636.0,423.0
648,'here (hither)',25403.0,14.0
649,'home',105920.0,7.0
650,'(at) home',102855.0,6.0
651,'at',278021.0,18.0
652,'at',15141908.0,548.0
653,'instead of',32260.0,12.0
654,'inside',911258.0,61.0
655,'inside',117267.0,21.0
656,'inside',17319.0,42.0
657,'with',6630707.0,329.0
658,'towards/against',849778.0,5.0
659,'down',368446.0,85.0
660,'down(stairs)',41226.0,10.0
661,'down in',2754.0,9.0
662,'about',3259965.0,137.0
663,'up',1016524.0,139.0
664,'on top of',8110.0,58.0
665,'up(stairs)',42346.0,8.0
666,'up in',11144.0,174.0
667,'over',981095.0,17.0
668,'on',9507635.0,1064.0
669,'to',62579.0,376.0
670,'back',285663.0,30.0
671,'under',543826.0,34.0
672,'outside',1371838.0,181.0
673,'outside',165881.0,62.0
674,'outside',113560.0,7.0
675,'outside',3592.0,5.0
676,'next to',29117.0,1.0
677,'away',43417.0,10.0
678,'everyone',304512.0,15.0
679,'everything',375299.0,29.0
680,'other(s)',72801.0,13.0
681,'it/that',3887740.0,1619.0
682,'it/that',11291491.0,4917.0
683,'a',120367.0,1.0
684,'a',11415112.0,1019.0
685,'another',1478707.0,28.0
686,'a',3151715.0,3.0
687,'each',396195.0,6.0
688,'each',143732.0,3.0
689,'not',5202279.0,893.0
690,'no one',147321.0,15.0
691,'nothing',70201.0,7.0
692,'a little',821994.0,405.0
693,'many',1748921.0,86.0
694,'more',1529227.0,2.0
695,'a lot',2742433.0,166.0
696,'something',744491.0,349.0
697,'someone',414688.0,277.0
698,'too',1680324.0,292.0
699,'same',434827.0,21.0
700,'be(come)',3721974.0,178.0
701,'should',324893.0,1.0
702,'should',469501.0,4.0
703,'is',12115790.0,15.0
704,'get',2396707.0,287.0
705,'does',475020.0,320.0
706,'did',149517.0,52.0
707,'do',1340396.0,488.0
708,'have',73111.0,1174.0
709,'had',1000755.0,2.0
710,'has',6229512.0,10.0
711,'can',2851732.0,3.0
712,'could',3456913.0,742.0
713,'let',170816.0,7.0
714,'have to',1121332.0,5.0
715,'had to',1355908.0,242.0
716,'will',1837061.0,3.0
717,'would',2295140.0,1152.0
718,'be',16594833.0,4419.0
719,'was',2446938.0,6.0
720,'wanna/want to',1814650.0,4.0
721,'would',2183940.0,161.0
722,'that',6016756.0,215.0
723,'or',1705360.0,210.0
724,'for',352478.0,521.0
725,'because',320966.0,12.0
726,'if',498529.0,86.0
727,'but',3015440.0,444.0
728,'and',16079937.0,1074.0
729,'then',2141716.0,900.0
730,'that',5486715.0,402.0
